otherCatalogNumbers,extracted,nanodropConc,sequenced12S,sequencedCOI,catalogNumber,institutionCode,individualCount,basisOfRecord,preparations,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,vernacularName,identifiedBy,identificationRemarks,associatedSequences,taxonRemarks,waterBody,locality,recordedBy,samplingProtocol,minimumDepthInMeters,continent,countryCode,country,stateProvince,county,decimalLatitude,decimalLongitude,geodeticDatum,eventDate
SEA0001,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophis,lumbriciformis,"(Jenyns, 1835)",NA,NA,Worm pipefish,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0002,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophis,lumbriciformis,"(Jenyns, 1835)",NA,NA,Worm pipefish,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0003,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophis,lumbriciformis,"(Jenyns, 1835)",NA,NA,Worm pipefish,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0004,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,"(Linnaeus, 1758)",NA,NA,Five-bearded rockling,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0005,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",NA,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks, Jennycliff Bay, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3501,-4.1221,WGS84,2016-05-24
SEA0006,TRUE,63.3,TRUE,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks, Jennycliff Bay, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3501,-4.1221,WGS84,2016-05-24
SEA0007,TRUE,39.7,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks, Jennycliff Bay, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3501,-4.1221,WGS84,2016-05-24
SEA0008,TRUE,53.1,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,maenas,"(Linnaeus, 1758)",NA,NA,Green shore crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks, Jennycliff Bay, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3501,-4.1221,WGS84,2016-05-24
SEA0009,TRUE,74,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,maenas,"(Linnaeus, 1758)",NA,NA,Green shore crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks, Jennycliff Bay, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3501,-4.1221,WGS84,2016-05-24
SEA0010,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,pagurus,"(Linnaeus, 1758)",NA,NA,Edible crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0011,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,pagurus,"(Linnaeus, 1758)",NA,NA,Edible crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0012,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,pagurus,"(Linnaeus, 1758)",NA,NA,Edible crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0013,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,pagurus,"(Linnaeus, 1758)",NA,NA,Edible crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0014,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,pagurus,"(Linnaeus, 1758)",NA,NA,Edible crab,Rupert A. Collins,NA,NA,NA,English Channel,"Intertidal rocks in front of Marine Biological Association, Plymouth",Rupert A. Collins,Hand net,0,Europe,GB,United Kingdom,England,Devon,50.3654,-4.1397,WGS84,2016-05-24
SEA0015,TRUE,,TRUE,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,"(Linnaeus, 1758)",NA,NA,Fifteen spined stickleback,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0016,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,"(Linnaeus, 1758)",NA,NA,Fifteen spined stickleback,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0017,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,"(Linnaeus, 1758)",NA,NA,Fifteen spined stickleback,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0018,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,"(Linnaeus, 1758)",NA,NA,Fifteen spined stickleback,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0019,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,"(Linnaeus, 1758)",Voucher direct in EtOH tube,NA,Fifteen spined stickleback,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0020,TRUE,,TRUE,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0021,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0022,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0023,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0024,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
