NC_006542_Anguilla_mossambica	TOPOLOGY		circular	
	source	1..16694	ff_definition	NC_006542_Anguilla_mossambica mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_006542_Anguilla_mossambica
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2879..3850	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4063..5107	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5107,aa:TERM)
			transl_table	2
	CDS	5498..7090	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7234..7924	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7924,aa:TERM)
			transl_table	2
	CDS	8002..8169	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8160..8842	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8841..8842,aa:TERM)
			transl_table	2
	CDS	8843..9627	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9626..9627,aa:TERM)
			transl_table	2
	CDS	9700..10048	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10048,aa:TERM)
			transl_table	2
	CDS	10120..10416	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10410..11790	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11790,aa:TERM)
			transl_table	2
	CDS	12004..13845	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13842..14363)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14437..15576	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1020	product	12S rRNA
	rRNA	1093..2802	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1021..1092	product	tRNA-Val
	tRNA	2803..2878	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3853..3924	product	tRNA-Ile
	tRNA	complement(3924..3994)	product	tRNA-Gln
	tRNA	3994..4062	product	tRNA-Met
	tRNA	5108..5179	product	tRNA-Trp
	tRNA	complement(5181..5249)	product	tRNA-Ala
	tRNA	complement(5251..5323)	product	tRNA-Asn
	tRNA	complement(5360..5425)	product	tRNA-Cys
	tRNA	complement(5426..5496)	product	tRNA-Tyr
	tRNA	complement(7082..7152)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7158..7227	product	tRNA-Asp
	tRNA	7925..8000	product	tRNA-Lys
	tRNA	9628..9699	product	tRNA-Gly
	tRNA	10049..10119	product	tRNA-Arg
	tRNA	11791..11859	product	tRNA-His
	tRNA	11860..11930	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11931..12003	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14364..14432)	product	tRNA-Glu
	tRNA	15577..15649	product	tRNA-Thr
	tRNA	complement(15654..15723)	product	tRNA-Pro
	D-loop	15724..16694	note	control region
