NC_024951_Laeops_lanceolata	TOPOLOGY		circular	
	source	1..18436	ff_definition	NC_024951_Laeops_lanceolata mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024951_Laeops_lanceolata
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2882..3859	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4006..5054	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5053..5054,aa:TERM)
			transl_table	2
	CDS	5255..6817	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	6890..7580	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7580,aa:TERM)
			transl_table	2
	CDS	7654..7821	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	7812..8494	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8493..8494,aa:TERM)
			transl_table	2
	CDS	8495..9279	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9278..9279,aa:TERM)
			transl_table	2
	CDS	9349..9697	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9697,aa:TERM)
			transl_table	2
	CDS	9767..10063	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10057..11437	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11437,aa:TERM)
			transl_table	2
	CDS	11652..13487	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13501..14641	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:14641,aa:TERM)
			transl_table	2
	CDS	complement(16244..16654)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	69..1041	product	12S rRNA
	rRNA	1111..2806	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1042..1110	product	tRNA-Val
	tRNA	2807..2880	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3863..3932	product	tRNA-Ile
	tRNA	3936..4004	product	tRNA-Met
	tRNA	5055..5124	product	tRNA-Trp
	tRNA	complement(5128..5200)	product	tRNA-Asn
	tRNA	7581..7652	product	tRNA-Lys
	tRNA	9280..9347	product	tRNA-Gly
	tRNA	9698..9766	product	tRNA-Arg
	tRNA	11438..11506	product	tRNA-His
	tRNA	11507..11574	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11579..11651	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	14642..14715	product	tRNA-Thr
	tRNA	complement(15770..15840)	product	tRNA-Gln
	tRNA	complement(15845..15913)	product	tRNA-Ala
	tRNA	complement(15920..15985)	product	tRNA-Cys
	tRNA	complement(15986..16055)	product	tRNA-Tyr
	tRNA	complement(16057..16127)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	16129..16197	product	tRNA-Asp
	tRNA	complement(16655..16723)	product	tRNA-Glu
	tRNA	complement(16729..16799)	product	tRNA-Pro
	D-loop	14716..15769	note	control region
	D-loop	16800..18436	note	control region
