NC_026794_Trichogaster_fasciata	TOPOLOGY		circular	
	source	1..16635	ff_definition	NC_026794_Trichogaster_fasciata mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026794_Trichogaster_fasciata
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2835..3809	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4021..5066	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5065..5066,aa:TERM)
			transl_table	2
	CDS	5450..7009	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7152..7842	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7842,aa:TERM)
			transl_table	2
	CDS	7919..8086	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8077..8759	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8758..8759,aa:TERM)
			transl_table	2
	CDS	8760..9544	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9543..9544,aa:TERM)
			transl_table	2
	CDS	9616..9964	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9964,aa:TERM)
			transl_table	2
	CDS	10035..10331	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10325..11705	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11705,aa:TERM)
			transl_table	2
	CDS	11920..13758	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13755..14276)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14349..15496	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15495..15496,aa:TERM)
			transl_table	2
	rRNA	69..1010	product	12S rRNA
	rRNA	1083..2760	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1011..1082	product	tRNA-Val
	tRNA	2761..2834	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3813..3882	product	tRNA-Ile
	tRNA	complement(3882..3952)	product	tRNA-Gln
	tRNA	3952..4020	product	tRNA-Met
	tRNA	5067..5137	product	tRNA-Trp
	tRNA	complement(5139..5207)	product	tRNA-Ala
	tRNA	complement(5209..5281)	product	tRNA-Asn
	tRNA	complement(5312..5378)	product	tRNA-Cys
	tRNA	complement(5379..5448)	product	tRNA-Tyr
	tRNA	complement(7001..7071)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7075..7145	product	tRNA-Asp
	tRNA	7843..7916	product	tRNA-Lys
	tRNA	9545..9615	product	tRNA-Gly
	tRNA	9965..10033	product	tRNA-Arg
	tRNA	11706..11774	product	tRNA-His
	tRNA	11775..11842	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11847..11919	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14277..14345)	product	tRNA-Glu
	tRNA	15497..15570	product	tRNA-Thr
	tRNA	complement(15570..15639)	product	tRNA-Pro
	D-loop	15640..16635	note	control region
