NC_022940_Monotrete_leiurus	TOPOLOGY		circular	
	source	1..16448	ff_definition	NC_022940_Monotrete_leiurus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022940_Monotrete_leiurus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2835..3809	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4021..5066	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5065..5066,aa:TERM)
			transl_table	2
	CDS	5451..7010	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7151..7841	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7841,aa:TERM)
			transl_table	2
	CDS	7916..8083	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8074..8756	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8755..8756,aa:TERM)
			transl_table	2
	CDS	8757..9541	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9540..9541,aa:TERM)
			transl_table	2
	CDS	9613..9961	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9961,aa:TERM)
			transl_table	2
	CDS	10032..10328	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10322..11702	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11702,aa:TERM)
			transl_table	2
	CDS	11918..13756	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13752..14273)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14346..15482	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1014	product	12S rRNA
	rRNA	1086..2760	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1015..1085	product	tRNA-Val
	tRNA	2761..2834	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3813..3882	product	tRNA-Ile
	tRNA	complement(3882..3952)	product	tRNA-Gln
	tRNA	3952..4020	product	tRNA-Met
	tRNA	5067..5138	product	tRNA-Trp
	tRNA	complement(5140..5208)	product	tRNA-Ala
	tRNA	complement(5210..5282)	product	tRNA-Asn
	tRNA	complement(5316..5379)	product	tRNA-Cys
	tRNA	complement(5380..5449)	product	tRNA-Tyr
	tRNA	complement(7002..7072)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7076..7145	product	tRNA-Asp
	tRNA	7842..7914	product	tRNA-Lys
	tRNA	9542..9612	product	tRNA-Gly
	tRNA	9962..10031	product	tRNA-Arg
	tRNA	11703..11771	product	tRNA-His
	tRNA	11772..11838	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11845..11917	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14274..14342)	product	tRNA-Glu
	tRNA	15487..15558	product	tRNA-Thr
	tRNA	complement(15558..15627)	product	tRNA-Pro
	D-loop	15628..16448	note	control region
