NC_023524_Alepes_kleinii	TOPOLOGY		circular	
	source	1..16571	ff_definition	NC_023524_Alepes_kleinii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023524_Alepes_kleinii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2899..3873	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4090..5134	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5134,aa:TERM)
			transl_table	2
	CDS	5527..7077	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7229..7919	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7919,aa:TERM)
			transl_table	2
	CDS	7996..8163	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8196..8836	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8835..8836,aa:TERM)
			transl_table	2
	CDS	8837..9621	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9620..9621,aa:TERM)
			transl_table	2
	CDS	9692..10040	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10040,aa:TERM)
			transl_table	2
	CDS	10111..10407	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10401..11781	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11781,aa:TERM)
			transl_table	2
	CDS	11997..13835	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13832..14353)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14428..15568	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15568,aa:TERM)
			transl_table	2
	rRNA	69..1022	product	12S rRNA
	rRNA	1095..2823	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1023..1094	product	tRNA-Val
	tRNA	2824..2898	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3880..3949	product	tRNA-Ile
	tRNA	complement(3949..4019)	product	tRNA-Gln
	tRNA	4019..4089	product	tRNA-Met
	tRNA	5135..5205	product	tRNA-Trp
	tRNA	complement(5207..5275)	product	tRNA-Ala
	tRNA	complement(5277..5349)	product	tRNA-Asn
	tRNA	complement(5388..5455)	product	tRNA-Cys
	tRNA	complement(5456..5525)	product	tRNA-Tyr
	tRNA	complement(7078..7148)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7152..7222	product	tRNA-Asp
	tRNA	7920..7994	product	tRNA-Lys
	tRNA	9622..9691	product	tRNA-Gly
	tRNA	10041..10109	product	tRNA-Arg
	tRNA	11782..11851	product	tRNA-His
	tRNA	11852..11919	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11924..11996	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14354..14422)	product	tRNA-Glu
	tRNA	15569..15640	product	tRNA-Thr
	tRNA	complement(15640..15710)	product	tRNA-Pro
	D-loop	15711..16571	note	control region
