NC_020436_Paedocypris_progenetica	TOPOLOGY		circular	
	source	1..17382	ff_definition	NC_020436_Paedocypris_progenetica mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_020436_Paedocypris_progenetica
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2839..3813	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4022..5060	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5060,aa:TERM)
			transl_table	2
	CDS	5446..6990	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7152..7842	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7842,aa:TERM)
			transl_table	2
	CDS	7917..8084	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8075..8757	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8756..8757,aa:TERM)
			transl_table	2
	CDS	8758..9541	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9541,aa:TERM)
			transl_table	2
	CDS	9614..9959	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9959,aa:TERM)
			transl_table	2
	CDS	10031..10327	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10321..11702	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11701..11702,aa:TERM)
			transl_table	2
	CDS	11915..13750	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13747..14268)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14341..15477	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1018	product	12S rRNA
	rRNA	1091..2763	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1019..1090	product	tRNA-Val
	tRNA	2764..2838	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3814..3883	product	tRNA-Ile
	tRNA	complement(3882..3952)	product	tRNA-Gln
	tRNA	3953..4021	product	tRNA-Met
	tRNA	5061..5131	product	tRNA-Trp
	tRNA	complement(5134..5202)	product	tRNA-Ala
	tRNA	complement(5204..5276)	product	tRNA-Asn
	tRNA	complement(5310..5374)	product	tRNA-Cys
	tRNA	complement(5375..5444)	product	tRNA-Tyr
	tRNA	complement(6994..7064)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7066..7138	product	tRNA-Asp
	tRNA	7843..7915	product	tRNA-Lys
	tRNA	9542..9613	product	tRNA-Gly
	tRNA	9960..10030	product	tRNA-Arg
	tRNA	11703..11771	product	tRNA-His
	tRNA	11772..11840	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11842..11914	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14270..14338)	product	tRNA-Glu
	tRNA	15480..15550	product	tRNA-Thr
	tRNA	complement(15549..15618)	product	tRNA-Pro
	D-loop	15619..17382	note	control region
