NC_003185_Danacetichthys_galathenus	TOPOLOGY		circular	
	source	1..16555	ff_definition	NC_003185_Danacetichthys_galathenus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_003185_Danacetichthys_galathenus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2843..3817	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4030..5073	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5455..6996	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7161..7851	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7851,aa:TERM)
			transl_table	2
	CDS	7927..8094	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8085..8767	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8766..8767,aa:TERM)
			transl_table	2
	CDS	8768..9552	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9551..9552,aa:TERM)
			transl_table	2
	CDS	9623..9971	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9971,aa:TERM)
			transl_table	2
	CDS	10041..10337	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10331..11711	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11711,aa:TERM)
			transl_table	2
	CDS	11923..13761	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13757..14278)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14355..15495	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15495,aa:TERM)
			transl_table	2
	rRNA	71..1013	product	12S rRNA
	rRNA	1086..2768	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1014..1085	product	tRNA-Val
	tRNA	2769..2842	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3822..3890	product	tRNA-Ile
	tRNA	complement(3890..3961)	product	tRNA-Gln
	tRNA	3961..4029	product	tRNA-Met
	tRNA	5076..5147	product	tRNA-Trp
	tRNA	complement(5149..5217)	product	tRNA-Ala
	tRNA	complement(5217..5290)	product	tRNA-Asn
	tRNA	complement(5322..5385)	product	tRNA-Cys
	tRNA	complement(5386..5453)	product	tRNA-Tyr
	tRNA	complement(7006..7076)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7080..7151	product	tRNA-Asp
	tRNA	7852..7925	product	tRNA-Lys
	tRNA	9553..9622	product	tRNA-Gly
	tRNA	9972..10040	product	tRNA-Arg
	tRNA	11712..11780	product	tRNA-His
	tRNA	11781..11847	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11850..11922	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14280..14347)	product	tRNA-Glu
	tRNA	15496..15566	product	tRNA-Thr
	tRNA	complement(15566..15633)	product	tRNA-Pro
	D-loop	15634..16555	note	control region
