NC_004401_Indostomus_paradoxus	TOPOLOGY		circular	
	source	1..16152	ff_definition	NC_004401_Indostomus_paradoxus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_004401_Indostomus_paradoxus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2967..3929	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4138..5183	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5182..5183,aa:TERM)
			transl_table	2
	CDS	5560..7110	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7261..7951	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7951,aa:TERM)
			transl_table	2
	CDS	8026..8193	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8184..8866	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8865..8866,aa:TERM)
			transl_table	2
	CDS	8867..9651	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9650..9651,aa:TERM)
			transl_table	2
	CDS	9721..10069	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10069,aa:TERM)
			transl_table	2
	CDS	10139..10435	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10429..11809	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11809,aa:TERM)
			transl_table	2
	CDS	12022..13860	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13857..14369)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14442..15578	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1014	product	12S rRNA
	rRNA	1087..2892	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1015..1086	product	tRNA-Val
	tRNA	2893..2966	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3930..4000	product	tRNA-Ile
	tRNA	complement(4000..4069)	product	tRNA-Gln
	tRNA	4069..4137	product	tRNA-Met
	tRNA	5184..5252	product	tRNA-Trp
	tRNA	complement(5254..5322)	product	tRNA-Ala
	tRNA	complement(5324..5396)	product	tRNA-Asn
	tRNA	complement(5427..5491)	product	tRNA-Cys
	tRNA	complement(5492..5558)	product	tRNA-Tyr
	tRNA	complement(7112..7182)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7186..7254	product	tRNA-Asp
	tRNA	7952..8024	product	tRNA-Lys
	tRNA	9652..9720	product	tRNA-Gly
	tRNA	10070..10138	product	tRNA-Arg
	tRNA	11810..11880	product	tRNA-His
	tRNA	11881..11947	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11949..12021	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14370..14438)	product	tRNA-Glu
	tRNA	15581..15654	product	tRNA-Thr
	tRNA	complement(15655..15724)	product	tRNA-Pro
