NC_025665_Seriolella_porosa	TOPOLOGY		circular	
	source	1..16814	ff_definition	NC_025665_Seriolella_porosa mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_025665_Seriolella_porosa
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2949..3923	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4142..5186	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5186,aa:TERM)
			transl_table	2
	CDS	5578..7134	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7289..7979	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7979,aa:TERM)
			transl_table	2
	CDS	8055..8222	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8213..8895	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8894..8895,aa:TERM)
			transl_table	2
	CDS	8896..9680	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9679..9680,aa:TERM)
			transl_table	2
	CDS	9754..10102	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10102,aa:TERM)
			transl_table	2
	CDS	10173..10469	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10463..11843	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11843,aa:TERM)
			transl_table	2
	CDS	12056..13894	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13891..14409)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14484..15624	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15624,aa:TERM)
			transl_table	2
	rRNA	69..1021	product	12S rRNA
	rRNA	1094..2873	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2874..2948	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3933..4004	product	tRNA-Ile
	tRNA	complement(4003..4073)	product	tRNA-Gln
	tRNA	4073..4141	product	tRNA-Met
	tRNA	5187..5259	product	tRNA-Trp
	tRNA	complement(5262..5330)	product	tRNA-Ala
	tRNA	complement(5332..5404)	product	tRNA-Asn
	tRNA	complement(5437..5503)	product	tRNA-Cys
	tRNA	complement(5506..5576)	product	tRNA-Tyr
	tRNA	complement(7126..7196)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7202..7274	product	tRNA-Asp
	tRNA	7980..8053	product	tRNA-Lys
	tRNA	9681..9753	product	tRNA-Gly
	tRNA	10103..10172	product	tRNA-Arg
	tRNA	11844..11912	product	tRNA-His
	tRNA	11913..11981	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11983..12055	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14410..14478)	product	tRNA-Glu
	tRNA	15625..15696	product	tRNA-Thr
	tRNA	complement(15695..15765)	product	tRNA-Pro
	D-loop	15766..16814	note	control region
