NC_015546_Microdevario_nana	TOPOLOGY		circular	
	source	1..16772	ff_definition	NC_015546_Microdevario_nana mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015546_Microdevario_nana
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2840..3814	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4028..5072	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5072,aa:TERM)
			transl_table	2
	CDS	5541..7103	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7234..7921	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7921,aa:TERM)
			transl_table	2
	CDS	7994..8158	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8152..8834	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8833..8834,aa:TERM)
			transl_table	2
	CDS	8835..9619	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9618..9619,aa:TERM)
			transl_table	2
	CDS	9692..10040	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10040,aa:TERM)
			transl_table	2
	CDS	10111..10407	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10401..11782	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11781..11782,aa:TERM)
			transl_table	2
	CDS	11998..13809	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13806..14327)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14402..15542	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15542,aa:TERM)
			transl_table	2
	rRNA	70..1014	product	12S rRNA
	rRNA	1086..2764	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1015..1085	product	tRNA-Val
	tRNA	2765..2839	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3818..3888	product	tRNA-Ile
	tRNA	complement(3887..3957)	product	tRNA-Gln
	tRNA	3959..4027	product	tRNA-Met
	tRNA	5073..5142	product	tRNA-Trp
	tRNA	complement(5257..5324)	product	tRNA-Ala
	tRNA	complement(5325..5397)	product	tRNA-Asn
	tRNA	complement(5402..5468)	product	tRNA-Cys
	tRNA	complement(5469..5539)	product	tRNA-Tyr
	tRNA	complement(7091..7161)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7164..7232	product	tRNA-Asp
	tRNA	7922..7993	product	tRNA-Lys
	tRNA	9620..9691	product	tRNA-Gly
	tRNA	10041..10110	product	tRNA-Arg
	tRNA	11783..11852	product	tRNA-His
	tRNA	11853..11921	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11924..11996	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14328..14396)	product	tRNA-Glu
	tRNA	15543..15614	product	tRNA-Thr
	tRNA	complement(15616..15685)	product	tRNA-Pro
	D-loop	15686..16772	note	control region
