NC_021767_Neotrygon_kuhlii	TOPOLOGY		circular	
	source	1..18039	ff_definition	NC_021767_Neotrygon_kuhlii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_021767_Neotrygon_kuhlii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2877..3854	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4079..5124	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5123..5124,aa:TERM)
			transl_table	2
	CDS	5517..7079	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7226..7916	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7916,aa:TERM)
			transl_table	2
	CDS	7992..8159	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8150..8832	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8831..8832,aa:TERM)
			transl_table	2
	CDS	8833..9618	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9694..10042	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10042,aa:TERM)
			transl_table	2
	CDS	10114..10410	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10404..11784	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11784,aa:TERM)
			transl_table	2
	CDS	11996..13837	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13842..14363)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14438..15580	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1029	product	12S rRNA
	rRNA	1102..2800	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1030..1101	product	tRNA-Val
	tRNA	2801..2875	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3857..3924	product	tRNA-Ile
	tRNA	complement(3933..4004)	product	tRNA-Gln
	tRNA	4008..4078	product	tRNA-Met
	tRNA	5125..5194	product	tRNA-Trp
	tRNA	complement(5196..5264)	product	tRNA-Ala
	tRNA	complement(5266..5338)	product	tRNA-Asn
	tRNA	complement(5375..5441)	product	tRNA-Cys
	tRNA	complement(5446..5515)	product	tRNA-Tyr
	tRNA	complement(7081..7151)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7152..7222	product	tRNA-Asp
	tRNA	7917..7990	product	tRNA-Lys
	tRNA	9625..9693	product	tRNA-Gly
	tRNA	10043..10113	product	tRNA-Arg
	tRNA	11785..11853	product	tRNA-His
	tRNA	11855..11921	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11924..11995	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14364..14432)	product	tRNA-Glu
	tRNA	15586..15657	product	tRNA-Thr
	tRNA	complement(15663..15732)	product	tRNA-Pro
	D-loop	15733..18039	note	control region
