NC_023972_Nemipterus_japonicus	TOPOLOGY		circular	
	source	1..16995	ff_definition	NC_023972_Nemipterus_japonicus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023972_Nemipterus_japonicus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2930..3904	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4117..5165	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5164..5165,aa:TERM)
			transl_table	2
	CDS	5561..7111	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7264..7954	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7954,aa:TERM)
			transl_table	2
	CDS	8031..8198	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8189..8871	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8870..8871,aa:TERM)
			transl_table	2
	CDS	8872..9656	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9655..9656,aa:TERM)
			transl_table	2
	CDS	9728..10076	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10076,aa:TERM)
			transl_table	2
	CDS	10146..10442	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10436..11813	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11813,aa:TERM)
			transl_table	2
	CDS	12025..13863	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13860..14381)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14456..15596	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15596,aa:TERM)
			transl_table	2
	rRNA	72..1048	product	12S rRNA
	rRNA	1121..2855	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1049..1120	product	tRNA-Val
	tRNA	2856..2929	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3909..3977	product	tRNA-Ile
	tRNA	complement(3977..4047)	product	tRNA-Gln
	tRNA	4047..4116	product	tRNA-Met
	tRNA	5166..5236	product	tRNA-Trp
	tRNA	complement(5237..5305)	product	tRNA-Ala
	tRNA	complement(5307..5379)	product	tRNA-Asn
	tRNA	complement(5423..5488)	product	tRNA-Cys
	tRNA	complement(5489..5559)	product	tRNA-Tyr
	tRNA	complement(7113..7183)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7186..7256	product	tRNA-Asp
	tRNA	7955..8029	product	tRNA-Lys
	tRNA	9657..9727	product	tRNA-Gly
	tRNA	10077..10145	product	tRNA-Arg
	tRNA	11814..11882	product	tRNA-His
	tRNA	11883..11949	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11952..12024	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14383..14451)	product	tRNA-Glu
	tRNA	15597..15667	product	tRNA-Thr
	tRNA	complement(15667..15735)	product	tRNA-Pro
	D-loop	15736..16995	note	control region
