NC_026235_Polydactylus_plebeius	TOPOLOGY		circular	
	source	1..16765	ff_definition	NC_026235_Polydactylus_plebeius mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026235_Polydactylus_plebeius
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2912..3886	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4101..5147	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5541..7091	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7241..7931	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7931,aa:TERM)
			transl_table	2
	CDS	8009..8176	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8167..8849	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8848..8849,aa:TERM)
			transl_table	2
	CDS	8850..9635	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9743..10091	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10091,aa:TERM)
			transl_table	2
	CDS	10163..10459	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10453..11837	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11836..11837,aa:TERM)
			transl_table	2
	CDS	12056..13900	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13897..14418)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14496..15638	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1029	product	12S rRNA
	rRNA	1102..2837	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1030..1101	product	tRNA-Val
	tRNA	2838..2911	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3892..3961	product	tRNA-Ile
	tRNA	complement(3962..4032)	product	tRNA-Gln
	tRNA	4032..4100	product	tRNA-Met
	tRNA	5151..5221	product	tRNA-Trp
	tRNA	complement(5223..5291)	product	tRNA-Ala
	tRNA	complement(5293..5365)	product	tRNA-Asn
	tRNA	complement(5403..5469)	product	tRNA-Cys
	tRNA	complement(5470..5539)	product	tRNA-Tyr
	tRNA	complement(7092..7162)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7163..7231	product	tRNA-Asp
	tRNA	7932..8007	product	tRNA-Lys
	tRNA	9671..9742	product	tRNA-Gly
	tRNA	10092..10160	product	tRNA-Arg
	tRNA	11838..11906	product	tRNA-His
	tRNA	11907..11974	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11980..12052	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14420..14489)	product	tRNA-Glu
	tRNA	15649..15720	product	tRNA-Thr
	tRNA	complement(15720..15789)	product	tRNA-Pro
	D-loop	15790..16765	note	control region
