NC_022503_Rexea_nakamurai	TOPOLOGY		circular	
	source	1..16382	ff_definition	NC_022503_Rexea_nakamurai mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022503_Rexea_nakamurai
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2885..3859	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4074..5119	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5118..5119,aa:TERM)
			transl_table	2
	CDS	5505..7055	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7209..7899	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7899,aa:TERM)
			transl_table	2
	CDS	7976..8143	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8134..8816	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8815..8816,aa:TERM)
			transl_table	2
	CDS	8817..9601	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9600..9601,aa:TERM)
			transl_table	2
	CDS	9674..10022	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10022,aa:TERM)
			transl_table	2
	CDS	10093..10389	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10383..11763	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11763,aa:TERM)
			transl_table	2
	CDS	11980..13812	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13815..14336)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14412..15552	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15552,aa:TERM)
			transl_table	2
	rRNA	70..1039	product	12S rRNA
	rRNA	1112..2808	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1040..1111	product	tRNA-Val
	tRNA	2809..2883	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3864..3934	product	tRNA-Ile
	tRNA	complement(3935..4005)	product	tRNA-Gln
	tRNA	4005..4073	product	tRNA-Met
	tRNA	5120..5190	product	tRNA-Trp
	tRNA	complement(5192..5260)	product	tRNA-Ala
	tRNA	complement(5262..5334)	product	tRNA-Asn
	tRNA	complement(5371..5436)	product	tRNA-Cys
	tRNA	complement(5437..5503)	product	tRNA-Tyr
	tRNA	complement(7056..7126)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7132..7202	product	tRNA-Asp
	tRNA	7900..7974	product	tRNA-Lys
	tRNA	9602..9672	product	tRNA-Gly
	tRNA	10023..10091	product	tRNA-Arg
	tRNA	11764..11833	product	tRNA-His
	tRNA	11834..11901	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11907..11979	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14337..14406)	product	tRNA-Glu
	tRNA	15553..15624	product	tRNA-Thr
	tRNA	complement(15624..15693)	product	tRNA-Pro
	D-loop	15694..16382	note	control region
