NC_013627_Serrivomer_beanii	TOPOLOGY		circular	
	source	1..16731	ff_definition	NC_013627_Serrivomer_beanii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013627_Serrivomer_beanii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2878..3849	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4062..5117	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5543..7111	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7277..7967	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7967,aa:TERM)
			transl_table	2
	CDS	8043..8210	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8201..8883	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8882..8883,aa:TERM)
			transl_table	2
	CDS	8884..9668	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9667..9668,aa:TERM)
			transl_table	2
	CDS	9741..10089	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10089,aa:TERM)
			transl_table	2
	CDS	10160..10456	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10450..11830	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11830,aa:TERM)
			transl_table	2
	CDS	12044..13885	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13882..14403)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14475..15614	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1033	product	12S rRNA
	rRNA	1105..2801	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1034..1104	product	tRNA-Val
	tRNA	2802..2877	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3852..3923	product	tRNA-Ile
	tRNA	complement(3923..3993)	product	tRNA-Gln
	tRNA	3993..4061	product	tRNA-Met
	tRNA	5160..5231	product	tRNA-Trp
	tRNA	complement(5233..5301)	product	tRNA-Ala
	tRNA	complement(5303..5375)	product	tRNA-Asn
	tRNA	complement(5406..5470)	product	tRNA-Cys
	tRNA	complement(5471..5541)	product	tRNA-Tyr
	tRNA	complement(7126..7196)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7202..7271	product	tRNA-Asp
	tRNA	7968..8041	product	tRNA-Lys
	tRNA	9669..9740	product	tRNA-Gly
	tRNA	10090..10159	product	tRNA-Arg
	tRNA	11831..11899	product	tRNA-His
	tRNA	11900..11970	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11971..12043	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14404..14472)	product	tRNA-Glu
	tRNA	15616..15686	product	tRNA-Thr
	tRNA	complement(15693..15762)	product	tRNA-Pro
	D-loop	15763..16731	note	control region
