NC_015347_Tetractenos_glaber	TOPOLOGY		circular	
	source	1..16524	ff_definition	NC_015347_Tetractenos_glaber mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015347_Tetractenos_glaber
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2828..3802	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4013..5058	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5057..5058,aa:TERM)
			transl_table	2
	CDS	5442..7001	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7145..7835	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7835,aa:TERM)
			transl_table	2
	CDS	7910..8077	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8068..8750	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8749..8750,aa:TERM)
			transl_table	2
	CDS	8751..9535	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9534..9535,aa:TERM)
			transl_table	2
	CDS	9606..9954	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9954,aa:TERM)
			transl_table	2
	CDS	10025..10321	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10315..11695	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11695,aa:TERM)
			transl_table	2
	CDS	11910..13748	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13744..14265)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14340..15476	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1016	product	12S rRNA
	rRNA	1090..2754	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1017..1089	product	tRNA-Val
	tRNA	2755..2827	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3805..3874	product	tRNA-Ile
	tRNA	complement(3874..3944)	product	tRNA-Gln
	tRNA	3944..4012	product	tRNA-Met
	tRNA	5059..5129	product	tRNA-Trp
	tRNA	complement(5131..5199)	product	tRNA-Ala
	tRNA	complement(5202..5274)	product	tRNA-Asn
	tRNA	complement(5307..5371)	product	tRNA-Cys
	tRNA	complement(5371..5440)	product	tRNA-Tyr
	tRNA	complement(6993..7063)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7067..7138	product	tRNA-Asp
	tRNA	7836..7908	product	tRNA-Lys
	tRNA	9536..9605	product	tRNA-Gly
	tRNA	9955..10024	product	tRNA-Arg
	tRNA	11696..11764	product	tRNA-His
	tRNA	11765..11831	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11838..11909	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14266..14334)	product	tRNA-Glu
	tRNA	15481..15552	product	tRNA-Thr
	tRNA	complement(15552..15621)	product	tRNA-Pro
	D-loop	15622..16524	note	control region
